[PC: c80b] OPCODE a9 | A:64 X: 0 Y: 0 P:67 SP:fb |lda AdressingMode[0] 80
[PC: c80d] OPCODE 85 | A:80 X: 0 Y: 0 P:e5 SP:fb |sta AdressingMode[1] 128
[PC: c80f] OPCODE 24 | A:80 X: 0 Y: 0 P:e5 SP:fb |bit AdressingMode[1] 128
[PC: c811] OPCODE f8 | A:80 X: 0 Y: 0 P:a5 SP:fb |sed
[PC: c812] OPCODE a9 | A:80 X: 0 Y: 0 P:ad SP:fb |lda AdressingMode[0] 0
[PC: c814] OPCODE 38 | A: 0 X: 0 Y: 0 P:2f SP:fb |sec
[PC: c815] OPCODE  8 | A: 0 X: 0 Y: 0 P:2f SP:fb |php 3f
[PC: c816] OPCODE 68 | A: 0 X: 0 Y: 0 P:2f SP:fa |pla 3f
[PC: c817] OPCODE 29 | A:3f X: 0 Y: 0 P:2d SP:fb |and AdressingMode[0] 2f
[PC: c819] OPCODE c9 | A:2f X: 0 Y: 0 P:2d SP:fb |cmp AdressingMode[0] 2f, 2f
[PC: c81b] OPCODE f0 | A:2f X: 0 Y: 0 P:2f SP:fb |beq 4 Zero flag[true]
[PC: c821] OPCODE ea | A:2f X: 0 Y: 0 P:2f SP:fb |nop
[PC: c822] OPCODE a9 | A:2f X: 0 Y: 0 P:2f SP:fb |lda AdressingMode[0] ff
[PC: c824] OPCODE 48 | A:ff X: 0 Y: 0 P:ad SP:fb |pha ff
[PC: c825] OPCODE 28 | A:ff X: 0 Y: 0 P:ad SP:fa |plp
[PC: c826] OPCODE d0 | A:ff X: 0 Y: 0 P:ef SP:fb |bne 9
[PC: c828] OPCODE 10 | A:ff X: 0 Y: 0 P:ef SP:fb |bpl 7
[PC: c82a] OPCODE 50 | A:ff X: 0 Y: 0 P:ef SP:fb |bvc 5
[PC: c82c] OPCODE 90 | A:ff X: 0 Y: 0 P:ef SP:fb |bcc 3
[PC: c82e] OPCODE 4c | A:ff X: 0 Y: 0 P:ef SP:fb |jmp absolute c835
[PC: c835] OPCODE ea | A:ff X: 0 Y: 0 P:ef SP:fb |nop
[PC: c836] OPCODE a9 | A:ff X: 0 Y: 0 P:ef SP:fb |lda AdressingMode[0] 4
[PC: c838] OPCODE 48 | A: 4 X: 0 Y: 0 P:6d SP:fb |pha 4
[PC: c839] OPCODE 28 | A: 4 X: 0 Y: 0 P:6d SP:fa |plp
[PC: c83a] OPCODE f0 | A: 4 X: 0 Y: 0 P:24 SP:fb |beq 9 Zero flag[false]
[PC: c83c] OPCODE 30 | A: 4 X: 0 Y: 0 P:24 SP:fb |bmi 7
[PC: c83e] OPCODE 70 | A: 4 X: 0 Y: 0 P:24 SP:fb |bvs 5
[PC: c840] OPCODE b0 | A: 4 X: 0 Y: 0 P:24 SP:fb |bcs 3
[PC: c842] OPCODE 4c | A: 4 X: 0 Y: 0 P:24 SP:fb |jmp absolute c849
[PC: c849] OPCODE ea | A: 4 X: 0 Y: 0 P:24 SP:fb |nop
[PC: c84a] OPCODE f8 | A: 4 X: 0 Y: 0 P:24 SP:fb |sed
[PC: c84b] OPCODE a9 | A: 4 X: 0 Y: 0 P:2c SP:fb |lda AdressingMode[0] ff
[PC: c84d] OPCODE 85 | A:ff X: 0 Y: 0 P:ac SP:fb |sta AdressingMode[1] 255
[PC: c84f] OPCODE 24 | A:ff X: 0 Y: 0 P:ac SP:fb |bit AdressingMode[1] 255
[PC: c851] OPCODE 18 | A:ff X: 0 Y: 0 P:ec SP:fb |clc
[PC: c852] OPCODE a9 | A:ff X: 0 Y: 0 P:ec SP:fb |lda AdressingMode[0] 0
[PC: c854] OPCODE 48 | A: 0 X: 0 Y: 0 P:6e SP:fb |pha 0
[PC: c855] OPCODE a9 | A: 0 X: 0 Y: 0 P:6e SP:fa |lda AdressingMode[0] ff
[PC: c857] OPCODE 68 | A:ff X: 0 Y: 0 P:ec SP:fa |pla 0
[PC: c858] OPCODE d0 | A: 0 X: 0 Y: 0 P:6e SP:fb |bne 9
[PC: c85a] OPCODE 30 | A: 0 X: 0 Y: 0 P:6e SP:fb |bmi 7
[PC: c85c] OPCODE 50 | A: 0 X: 0 Y: 0 P:6e SP:fb |bvc 5
